,cons,age,age_sq,income,education,kids,LFP
93,1.0,48,2304,29200,12,2,1
94,1.0,31,961,19870,12,4,1
95,1.0,45,2025,16225,12,1,1
96,1.0,45,2025,28600,12,1,1
97,1.0,32,1024,30800,13,2,1
98,1.0,47,2209,25700,12,0,1
99,1.0,34,1156,27000,13,2,1
100,1.0,37,1369,12077,12,1,1
101,1.0,36,1296,29612,12,1,1
102,1.0,47,2209,24479,12,3,1
103,1.0,48,2304,79750,16,1,1
104,1.0,42,1764,20050,12,2,1
105,1.0,33,1089,21500,13,3,1
106,1.0,46,2116,16120,11,0,1
107,1.0,47,2209,24686,12,3,1
108,1.0,44,1936,24669,12,1,1
109,1.0,36,1296,26400,12,4,1
110,1.0,31,961,16245,17,2,1
111,1.0,55,3025,23300,14,0,1
112,1.0,45,2025,27200,16,1,1
113,1.0,47,2209,51000,17,0,1
114,1.0,46,2116,55000,12,3,1
115,1.0,49,2401,15389,11,0,1
116,1.0,49,2401,23150,12,0,1
117,1.0,45,2025,29774,12,2,1
118,1.0,38,1444,91044,17,4,1
119,1.0,47,2209,28200,10,0,1
120,1.0,54,2916,36150,13,3,1
121,1.0,41,1681,15652,11,0,1
122,1.0,43,1849,18900,12,2,1
123,1.0,31,961,23600,16,2,1
124,1.0,47,2209,36200,17,0,1
125,1.0,35,1225,18700,12,2,1
126,1.0,45,2025,24125,16,3,1
127,1.0,33,1089,15800,12,1,1
128,1.0,54,2916,19742,16,1,1
129,1.0,35,1225,22600,8,4,1
130,1.0,31,961,17500,12,3,1
131,1.0,55,3025,19820,12,0,1
132,1.0,34,1156,20155,12,2,1
133,1.0,38,1444,37300,13,1,1
134,1.0,45,2025,24860,11,1,1
135,1.0,47,2209,21450,12,1,1
136,1.0,39,1521,29650,12,2,1
137,1.0,36,1296,23000,14,1,1
138,1.0,33,1089,21120,12,3,1
139,1.0,50,2500,26000,12,0,1
140,1.0,58,3364,28000,12,0,1
141,1.0,49,2401,45500,17,0,1
142,1.0,41,1681,16000,14,2,1
143,1.0,51,2601,18232,12,1,1
144,1.0,53,2809,28160,9,0,1
145,1.0,36,1296,5965,12,3,1
146,1.0,46,2116,19000,12,2,1
147,1.0,36,1296,36872,12,2,1
148,1.0,53,2809,42000,14,1,1
149,1.0,40,1600,26900,16,3,1
150,1.0,42,1764,30800,17,2,1
151,1.0,33,1089,21520,15,2,1
152,1.0,43,1849,24795,12,3,1
153,1.0,31,961,12900,16,1,1
154,1.0,47,2209,42700,17,0,1
155,1.0,54,2916,38800,17,0,1
156,1.0,33,1089,2500,12,4,1
157,1.0,43,1849,26921,16,0,1
158,1.0,46,2116,18300,13,1,1
159,1.0,35,1225,17200,12,3,1
160,1.0,37,1369,14209,11,3,1
161,1.0,37,1369,32300,16,2,1
162,1.0,34,1156,21400,14,3,1
163,1.0,43,1849,14700,16,1,1
164,1.0,46,2116,25516,12,0,1
165,1.0,35,1225,13300,9,3,1
166,1.0,46,2116,31000,17,0,1
167,1.0,46,2116,48800,14,0,1
168,1.0,43,1849,15519,12,2,1
169,1.0,30,900,19500,12,0,1
170,1.0,41,1681,14545,11,2,1
171,1.0,54,2916,22897,12,1,1
172,1.0,31,961,14300,12,1,1
173,1.0,44,1936,14884,10,0,1
174,1.0,32,1024,27400,12,1,1
175,1.0,47,2209,16400,5,0,1
176,1.0,46,2116,25704,17,1,1
177,1.0,37,1369,12800,11,0,1
178,1.0,51,2601,40000,12,2,1
179,1.0,49,2401,47000,12,1,1
180,1.0,36,1296,25872,14,4,1
181,1.0,39,1521,26868,11,1,1
182,1.0,48,2304,18000,12,2,1
183,1.0,38,1444,30200,14,2,1
184,1.0,40,1600,26220,12,2,1
185,1.0,39,1521,40500,10,6,1
186,1.0,37,1369,33570,16,0,1
187,1.0,49,2401,16917,13,1,1
188,1.0,33,1089,18000,12,3,1
189,1.0,30,900,8337,12,0,1
190,1.0,54,2916,17100,12,0,1
191,1.0,39,1521,17800,11,4,1
192,1.0,43,1849,13740,12,3,1
193,1.0,31,961,27000,9,3,1
194,1.0,33,1089,32600,13,3,1
195,1.0,40,1600,28030,12,3,1
196,1.0,36,1296,23100,12,1,1
197,1.0,51,2601,24580,12,0,1
198,1.0,44,1936,29000,13,1,1
199,1.0,42,1764,42430,16,3,1
200,1.0,40,1600,41800,12,1,1
201,1.0,34,1156,39100,16,2,1
202,1.0,30,900,31800,17,0,1
203,1.0,54,2916,22200,12,0,1
204,1.0,51,2601,19500,12,0,1
205,1.0,44,1936,14027,9,2,1
206,1.0,43,1849,21195,12,1,1
207,1.0,34,1156,19013,12,1,1
208,1.0,45,2025,20900,13,0,1
209,1.0,39,1521,26820,12,0,1
210,1.0,50,2500,12800,12,0,1
211,1.0,52,2704,7850,12,0,1
212,1.0,41,1681,18600,12,2,1
213,1.0,59,3481,5380,10,0,1
214,1.0,52,2704,6114,12,0,1
215,1.0,46,2116,8234,16,0,1
216,1.0,41,1681,20646,12,6,1
217,1.0,33,1089,16640,11,2,1
218,1.0,45,2025,13900,12,0,1
219,1.0,36,1296,11500,10,3,1
220,1.0,48,2304,34000,12,1,1
221,1.0,47,2209,28700,12,1,1
222,1.0,45,2025,9563,12,0,1
223,1.0,37,1369,20960,12,2,1
224,1.0,46,2116,38590,16,4,1
225,1.0,43,1849,27900,17,3,1
226,1.0,42,1764,25633,12,2,1
227,1.0,34,1156,35200,17,3,1
228,1.0,52,2704,29500,12,0,1
229,1.0,37,1369,10000,12,3,1
230,1.0,37,1369,19800,12,1,1
231,1.0,52,2704,12900,8,0,1
232,1.0,30,900,26080,12,1,1
233,1.0,31,961,13066,13,1,1
234,1.0,38,1444,12500,12,1,1
235,1.0,43,1849,35600,12,3,1
236,1.0,49,2401,19424,8,1,1
237,1.0,55,3025,26250,12,0,1
238,1.0,38,1444,36525,17,2,1
239,1.0,52,2704,34700,17,0,1
240,1.0,48,2304,8311,12,0,1
241,1.0,32,1024,28626,13,2,1
242,1.0,32,1024,24400,12,1,1
243,1.0,38,1444,14025,12,2,1
244,1.0,46,2116,21367,12,3,1
245,1.0,40,1600,14136,12,3,1
246,1.0,31,961,19900,9,4,1
247,1.0,43,1849,37000,10,1,1
248,1.0,51,2601,18500,12,0,1
249,1.0,30,900,34550,16,1,1
250,1.0,52,2704,49620,13,0,1
251,1.0,30,900,10400,8,6,1
252,1.0,51,2601,33000,16,0,1
253,1.0,31,961,16200,13,2,1
254,1.0,34,1156,22660,12,4,1
255,1.0,49,2401,16000,11,0,1
256,1.0,35,1225,25780,13,4,1
257,1.0,53,2809,20675,12,1,1
258,1.0,32,1024,40213,12,3,1
259,1.0,38,1444,15500,10,3,1
260,1.0,54,2916,35207,12,0,1
261,1.0,47,2209,35702,17,1,1
262,1.0,45,2025,17800,15,1,1
263,1.0,47,2209,50900,16,1,1
264,1.0,59,3481,17280,10,0,1
265,1.0,32,1024,15150,11,1,1
266,1.0,45,2025,36200,12,1,1
267,1.0,40,1600,17465,12,4,1
268,1.0,47,2209,45205,14,2,1
269,1.0,36,1296,14500,16,3,1
270,1.0,56,3136,32011,14,0,1
271,1.0,41,1681,35200,8,1,1
272,1.0,48,2304,13579,7,3,1
273,1.0,36,1296,10455,12,3,1
274,1.0,41,1681,32600,12,0,1
275,1.0,41,1681,19150,14,0,1
276,1.0,36,1296,24400,12,3,1
277,1.0,37,1369,21700,12,3,1
278,1.0,38,1444,26201,12,0,1
279,1.0,43,1849,11920,14,2,1
280,1.0,54,2916,16300,16,0,1
281,1.0,38,1444,16500,12,1,1
282,1.0,30,900,30000,12,1,1
283,1.0,49,2401,62500,12,0,1
284,1.0,45,2025,58500,13,1,1
285,1.0,51,2601,40900,13,0,1
286,1.0,34,1156,16308,10,0,1
287,1.0,34,1156,9300,12,2,1
288,1.0,41,1681,35700,12,1,1
289,1.0,49,2401,35700,12,1,1
290,1.0,32,1024,24500,12,0,1
291,1.0,32,1024,13000,14,0,1
292,1.0,32,1024,52600,17,2,1
293,1.0,47,2209,25360,10,0,1
294,1.0,39,1521,9400,9,1,1
295,1.0,49,2401,26800,12,0,1
296,1.0,37,1369,33040,12,3,1
297,1.0,59,3481,26350,16,0,1
298,1.0,50,2500,39000,12,0,1
299,1.0,32,1024,35100,17,1,1
300,1.0,46,2116,22502,12,0,1
301,1.0,43,1849,21950,17,2,1
302,1.0,37,1369,13000,11,3,1
303,1.0,32,1024,18180,16,2,1
304,1.0,39,1521,20957,11,1,1
305,1.0,34,1156,13700,13,2,1
306,1.0,39,1521,20000,11,1,1
307,1.0,45,2025,12260,8,3,1
308,1.0,50,2500,24850,11,0,1
309,1.0,40,1600,29150,12,1,1
310,1.0,30,900,23591,10,1,1
311,1.0,57,3249,24717,17,0,1
312,1.0,39,1521,30455,12,1,1
313,1.0,53,2809,19600,12,0,1
314,1.0,48,2304,31875,17,1,1
315,1.0,46,2116,24055,14,1,1
316,1.0,47,2209,18795,12,0,1
317,1.0,43,1849,12198,12,1,1
318,1.0,47,2209,52645,12,0,1
319,1.0,47,2209,16600,12,1,1
320,1.0,47,2209,32590,12,0,1
321,1.0,46,2116,10020,12,0,1
322,1.0,34,1156,12048,9,4,1
323,1.0,48,2304,39750,10,0,1
324,1.0,30,900,15700,12,1,1
325,1.0,51,2601,24250,12,1,1
326,1.0,52,2704,43210,12,5,1
327,1.0,37,1369,37100,12,2,1
328,1.0,32,1024,23820,12,2,1
329,1.0,36,1296,31600,17,2,1
330,1.0,35,1225,24000,12,2,1
331,1.0,45,2025,30750,17,0,1
332,1.0,56,3136,11050,12,0,1
333,1.0,40,1600,12239,10,2,1
334,1.0,45,2025,12870,12,3,1
335,1.0,32,1024,17200,12,2,1
336,1.0,45,2025,23980,12,0,1
337,1.0,40,1600,18600,12,2,1
338,1.0,38,1444,23920,12,1,1
339,1.0,49,2401,16084,12,4,1
340,1.0,47,2209,31100,16,1,1
341,1.0,52,2704,20460,13,0,1
342,1.0,34,1156,36000,13,1,1
343,1.0,44,1936,17302,12,2,1
344,1.0,36,1296,16450,16,3,1
345,1.0,50,2500,41170,17,0,1
346,1.0,45,2025,20130,12,0,1
347,1.0,44,1936,9200,14,2,1
348,1.0,57,3249,24751,12,2,1
349,1.0,35,1225,57300,17,0,1
350,1.0,46,2116,37200,12,0,1
351,1.0,30,900,14000,14,3,1
352,1.0,42,1764,20610,12,3,1
353,1.0,34,1156,14800,12,1,1
354,1.0,45,2025,40005,17,2,1
355,1.0,35,1225,23750,16,3,1
356,1.0,40,1600,35300,16,0,1
357,1.0,32,1024,17350,12,1,1
358,1.0,54,2916,21650,9,0,1
359,1.0,38,1444,6740,12,3,1
360,1.0,43,1849,32275,12,3,1
361,1.0,54,2916,33220,16,0,1
362,1.0,39,1521,26500,14,3,1
363,1.0,37,1369,38700,12,1,1
364,1.0,46,2116,15400,12,2,1
365,1.0,56,3136,19007,11,0,1
366,1.0,41,1681,16771,12,3,1
367,1.0,45,2025,31100,16,1,1
368,1.0,44,1936,66300,17,1,1
369,1.0,50,2500,43550,17,1,1
370,1.0,37,1369,37250,14,5,1
371,1.0,44,1936,24900,12,1,1
372,1.0,32,1024,24200,14,2,1
373,1.0,34,1156,16200,12,2,1
374,1.0,32,1024,11431,10,2,1
375,1.0,37,1369,13200,12,3,1
376,1.0,44,1936,15420,13,1,1
377,1.0,34,1156,18400,16,2,1
378,1.0,33,1089,43500,12,4,1
379,1.0,43,1849,21972,7,3,1
380,1.0,35,1225,7774,16,2,1
381,1.0,43,1849,24470,14,1,1
382,1.0,34,1156,13600,12,0,1
383,1.0,36,1296,22500,10,3,1
384,1.0,41,1681,13600,12,2,1
385,1.0,41,1681,90800,16,0,1
386,1.0,35,1225,10776,10,3,1
387,1.0,32,1024,19007,12,4,1
388,1.0,30,900,23900,14,0,1
389,1.0,43,1849,26060,12,0,1
390,1.0,54,2916,13300,6,0,1
391,1.0,35,1225,15620,15,2,1
392,1.0,50,2500,16500,12,0,1
393,1.0,34,1156,20880,17,2,1
394,1.0,52,2704,30600,14,0,1
395,1.0,35,1225,39000,13,3,1
396,1.0,55,3025,15428,6,0,1
397,1.0,35,1225,23300,16,0,1
398,1.0,49,2401,42100,14,1,1
399,1.0,38,1444,36430,15,4,1
400,1.0,42,1764,26000,14,2,1
401,1.0,48,2304,62060,8,1,1
402,1.0,51,2601,28300,14,0,1
403,1.0,43,1849,24149,12,2,1
404,1.0,43,1849,28141,12,1,1
405,1.0,38,1444,23057,12,1,1
406,1.0,44,1936,28900,12,1,1
407,1.0,36,1296,24000,12,4,1
408,1.0,38,1444,13900,12,0,1
409,1.0,47,2209,31810,8,0,1
410,1.0,34,1156,19840,12,2,1
411,1.0,40,1600,25490,17,3,1
412,1.0,31,961,20800,12,1,1
413,1.0,46,2116,2400,12,0,1
414,1.0,36,1296,32650,14,3,1
415,1.0,39,1521,16370,13,3,1
416,1.0,36,1296,35500,17,2,1
417,1.0,37,1369,15100,8,4,1
418,1.0,39,1521,14100,12,4,1
419,1.0,36,1296,19600,11,4,1
420,1.0,49,2401,19434,12,2,1
421,1.0,45,2025,23882,12,2,1
422,1.0,32,1024,17300,17,2,1
423,1.0,36,1296,19772,10,5,1
424,1.0,40,1600,35641,12,1,1
425,1.0,43,1849,34220,13,2,1
426,1.0,33,1089,30000,12,1,1
427,1.0,30,900,18000,12,1,1
428,1.0,49,2401,21025,12,1,0
429,1.0,30,900,23600,16,2,0
430,1.0,30,900,22800,12,1,0
431,1.0,41,1681,35910,12,4,0
432,1.0,45,2025,21700,12,1,0
433,1.0,43,1849,21823,12,5,0
434,1.0,42,1764,31000,13,1,0
435,1.0,60,3600,15300,12,0,0
436,1.0,57,3249,12925,12,0,0
437,1.0,38,1444,15830,10,2,0
438,1.0,56,3136,30200,12,0,0
439,1.0,32,1024,16600,12,3,0
440,1.0,49,2401,11000,7,1,0
441,1.0,55,3025,15000,12,0,0
442,1.0,36,1296,20528,9,2,0
443,1.0,44,1936,13126,12,3,0
444,1.0,44,1936,15550,10,1,0
445,1.0,35,1225,18010,14,3,0
446,1.0,44,1936,18874,14,5,0
447,1.0,45,2025,24800,12,1,0
448,1.0,34,1156,17500,12,1,0
449,1.0,30,900,16150,17,2,0
450,1.0,39,1521,15189,8,1,0
451,1.0,36,1296,6000,12,2,0
452,1.0,38,1444,37250,17,2,0
453,1.0,53,2809,27760,12,0,0
454,1.0,36,1296,9090,12,2,0
455,1.0,32,1024,14500,12,2,0
456,1.0,51,2601,19700,9,3,0
457,1.0,38,1444,16788,11,0,0
458,1.0,33,1089,18520,12,2,0
459,1.0,54,2916,20950,12,0,0
460,1.0,38,1444,7574,9,3,0
461,1.0,30,900,10027,11,4,0
462,1.0,34,1156,5000,12,5,0
463,1.0,34,1156,7040,9,1,0
464,1.0,50,2500,40800,12,2,0
465,1.0,30,900,16050,17,2,0
466,1.0,38,1444,33100,12,2,0
467,1.0,54,2916,33856,14,0,0
468,1.0,30,900,20500,12,3,0
469,1.0,55,3025,28600,12,0,0
470,1.0,51,2601,18750,10,1,0
471,1.0,44,1936,20300,12,1,0
472,1.0,53,2809,13420,12,0,0
473,1.0,42,1764,18400,10,2,0
474,1.0,38,1444,16682,12,2,0
475,1.0,38,1444,32685,13,4,0
476,1.0,41,1681,7050,12,5,0
477,1.0,35,1225,10867,8,3,0
478,1.0,33,1089,18220,12,3,0
479,1.0,48,2304,26613,13,0,0
480,1.0,47,2209,25000,12,0,0
481,1.0,34,1156,15700,12,5,0
482,1.0,33,1089,40250,13,3,0
483,1.0,31,961,73600,13,4,0
484,1.0,58,3364,10592,8,0,0
485,1.0,49,2401,8000,12,0,0
486,1.0,55,3025,13400,8,1,0
487,1.0,44,1936,23700,14,0,0
488,1.0,44,1936,18900,9,0,0
489,1.0,36,1296,48300,16,3,0
490,1.0,38,1444,24470,12,3,0
491,1.0,37,1369,28630,16,3,0
492,1.0,47,2209,25320,12,0,0
493,1.0,47,2209,13530,12,3,0
494,1.0,32,1024,14800,12,2,0
495,1.0,43,1849,17400,12,3,0
496,1.0,42,1764,15980,11,5,0
497,1.0,56,3136,16576,12,0,0
498,1.0,38,1444,21850,13,5,0
499,1.0,52,2704,14600,12,2,0
500,1.0,50,2500,21600,12,0,0
501,1.0,33,1089,24000,16,0,0
502,1.0,44,1936,20883,16,2,0
503,1.0,41,1681,19500,12,1,0
504,1.0,45,2025,42800,12,1,0
505,1.0,53,2809,41500,14,0,0
506,1.0,53,2809,18965,14,0,0
507,1.0,42,1764,16100,12,1,0
508,1.0,32,1024,14700,13,2,0
509,1.0,56,3136,18800,12,0,0
510,1.0,37,1369,14750,11,4,0
511,1.0,40,1600,21000,12,3,0
512,1.0,54,2916,35400,15,3,0
513,1.0,53,2809,10700,7,0,0
514,1.0,48,2304,24500,12,1,0
515,1.0,36,1296,17045,12,3,0
516,1.0,57,3249,18800,12,0,0
517,1.0,51,2601,14000,12,0,0
518,1.0,33,1089,18214,13,4,0
519,1.0,52,2704,20177,12,0,0
520,1.0,56,3136,8300,10,0,0
521,1.0,36,1296,14200,12,3,0
522,1.0,36,1296,21768,14,1,0
523,1.0,46,2116,29553,12,1,0
524,1.0,31,961,4350,10,3,0
525,1.0,52,2704,24000,11,0,0
526,1.0,46,2116,18300,12,2,0
527,1.0,35,1225,17200,12,2,0
528,1.0,59,3481,16476,12,0,0
529,1.0,36,1296,13400,8,1,0
530,1.0,51,2601,44988,7,4,0
531,1.0,31,961,18200,16,1,0
532,1.0,31,961,28000,14,2,0
533,1.0,32,1024,11550,12,2,0
534,1.0,35,1225,28450,16,3,0
535,1.0,40,1600,15096,12,3,0
536,1.0,33,1089,8009,10,3,0
537,1.0,54,2916,10040,7,0,0
538,1.0,36,1296,16700,12,2,0
539,1.0,50,2500,8400,10,1,0
540,1.0,54,2916,13000,8,0,0
541,1.0,48,2304,17970,11,1,0
542,1.0,41,1681,18450,15,4,0
543,1.0,50,2500,31000,12,4,0
544,1.0,46,2116,24135,12,2,0
545,1.0,42,1764,31700,13,1,0
546,1.0,31,961,10190,9,3,0
547,1.0,53,2809,21574,12,0,0
548,1.0,51,2601,26680,12,1,0
549,1.0,47,2209,17700,12,1,0
550,1.0,50,2500,29400,12,1,0
551,1.0,37,1369,22159,6,1,0
552,1.0,30,900,35000,12,4,0
553,1.0,49,2401,8630,12,0,0
554,1.0,52,2704,17080,12,2,0
555,1.0,47,2209,32500,12,2,0
556,1.0,49,2401,16000,12,0,0
557,1.0,44,1936,18850,12,4,0
558,1.0,53,2809,17500,8,0,0
559,1.0,30,900,19392,12,1,0
560,1.0,54,2916,14450,12,2,0
561,1.0,47,2209,21800,7,2,0
562,1.0,56,3136,7700,15,0,0
563,1.0,49,2401,31800,12,1,0
564,1.0,48,2304,17258,6,0,0
565,1.0,49,2401,13399,12,1,0
566,1.0,56,3136,16073,12,1,0
567,1.0,46,2116,23260,12,0,0
568,1.0,45,2025,37300,12,2,0
569,1.0,32,1024,11000,12,2,0
570,1.0,43,1849,13075,12,2,0
571,1.0,34,1156,13700,12,2,0
572,1.0,30,900,25100,12,2,0
573,1.0,38,1444,18600,17,2,0
574,1.0,33,1089,29000,16,2,0
575,1.0,52,2704,19237,12,0,0
576,1.0,43,1849,19855,11,3,0
577,1.0,33,1089,9450,12,2,0
578,1.0,45,2025,30000,10,0,0
579,1.0,36,1296,15000,10,3,0
580,1.0,34,1156,24701,12,2,0
581,1.0,37,1369,15900,14,2,0
582,1.0,46,2116,16240,10,1,0
583,1.0,47,2209,21100,12,0,0
584,1.0,31,961,23000,16,3,0
585,1.0,57,3249,6340,5,0,0
586,1.0,30,900,42250,12,2,0
587,1.0,30,900,14694,12,0,0
588,1.0,44,1936,21417,12,3,0
589,1.0,53,2809,20200,13,0,0
590,1.0,51,2601,12090,8,0,0
591,1.0,39,1521,24760,12,4,0
592,1.0,52,2704,23000,8,0,0
593,1.0,46,2116,19365,8,4,0
594,1.0,47,2209,5550,12,5,0
595,1.0,52,2704,68035,8,2,0
596,1.0,45,2025,29300,12,2,0
597,1.0,60,3600,18500,11,0,0
598,1.0,41,1681,22582,13,2,0
599,1.0,39,1521,21500,8,3,0
600,1.0,49,2401,28070,12,1,0
601,1.0,32,1024,50300,15,2,0
602,1.0,33,1089,23500,12,4,0
603,1.0,36,1296,15500,10,4,0
604,1.0,37,1369,13440,13,6,0
605,1.0,30,900,8100,12,3,0
606,1.0,44,1936,9800,11,2,0
607,1.0,48,2304,20300,12,1,0
608,1.0,40,1600,15000,11,4,0
609,1.0,47,2209,56100,13,0,0
610,1.0,36,1296,22846,12,2,0
611,1.0,40,1600,22225,11,2,0
612,1.0,46,2116,17635,12,1,0
613,1.0,52,2704,18500,12,0,0
614,1.0,44,1936,13390,12,1,0
615,1.0,45,2025,15150,10,1,0
616,1.0,30,900,16200,7,3,0
617,1.0,40,1600,33920,12,4,0
618,1.0,43,1849,14000,12,1,0
619,1.0,49,2401,16736,12,2,0
620,1.0,46,2116,30650,12,5,0
621,1.0,52,2704,12400,11,0,0
622,1.0,31,961,19022,12,2,0
623,1.0,42,1764,11203,10,2,0
624,1.0,33,1089,19876,11,3,0
625,1.0,57,3249,57000,16,0,0
626,1.0,49,2401,18290,10,0,0
627,1.0,45,2025,20220,14,1,0
628,1.0,56,3136,22150,11,0,0
629,1.0,41,1681,30623,12,4,0
630,1.0,56,3136,9380,5,0,0
631,1.0,48,2304,22000,10,1,0
632,1.0,52,2704,23675,16,2,0
633,1.0,51,2601,33671,12,0,0
634,1.0,35,1225,12367,11,3,0
635,1.0,45,2025,21950,12,0,0
636,1.0,54,2916,32000,12,0,0
637,1.0,54,2916,22610,12,2,0
638,1.0,31,961,12092,12,1,0
639,1.0,53,2809,3777,6,3,0
640,1.0,35,1225,36000,14,4,0
641,1.0,36,1296,26900,12,4,0
642,1.0,59,3481,32242,12,0,0
643,1.0,54,2916,35020,16,0,0
644,1.0,37,1369,37600,12,2,0
645,1.0,44,1936,1500,12,0,0
646,1.0,34,1156,96000,17,3,0
647,1.0,49,2401,18150,12,0,0
648,1.0,49,2401,15500,12,0,0
649,1.0,60,3600,14000,9,0,0
650,1.0,51,2601,14756,12,0,0
651,1.0,30,900,22000,12,2,0
652,1.0,47,2209,24466,12,2,0
653,1.0,36,1296,24400,12,4,0
654,1.0,35,1225,24000,12,4,0
655,1.0,58,3364,15500,12,0,0
656,1.0,41,1681,30800,14,4,0
657,1.0,51,2601,10660,10,1,0
658,1.0,47,2209,13350,12,0,0
659,1.0,45,2025,10090,9,3,0
660,1.0,60,3600,55600,14,0,0
661,1.0,30,900,25700,16,2,0
662,1.0,55,3025,29000,11,0,0
663,1.0,32,1024,7286,12,3,0
664,1.0,36,1296,37752,12,2,0
665,1.0,55,3025,13072,12,0,0
666,1.0,47,2209,7044,12,0,0
667,1.0,47,2209,18200,12,1,0
668,1.0,37,1369,27000,11,1,0
669,1.0,50,2500,30300,12,2,0
670,1.0,30,900,12000,12,3,0
671,1.0,48,2304,31500,17,1,0
672,1.0,43,1849,27092,10,2,0
673,1.0,48,2304,20968,11,1,0
674,1.0,41,1681,27000,14,3,0
675,1.0,50,2500,11225,12,0,0
676,1.0,58,3364,37700,8,0,0
677,1.0,38,1444,28200,13,5,0
678,1.0,37,1369,34000,12,1,0
679,1.0,50,2500,63200,16,0,0
680,1.0,42,1764,7500,8,4,0
681,1.0,37,1369,17410,9,4,0
682,1.0,41,1681,51000,16,2,0
683,1.0,31,961,12916,12,2,0
684,1.0,51,2601,21900,12,0,0
685,1.0,36,1296,17640,12,3,0
686,1.0,54,2916,20000,15,0,0
687,1.0,49,2401,15000,12,0,0
688,1.0,48,2304,14060,9,2,0
689,1.0,42,1764,15825,9,2,0
690,1.0,41,1681,16510,12,3,0
691,1.0,55,3025,13000,16,0,0
692,1.0,42,1764,10000,9,0,0
693,1.0,32,1024,22000,15,1,0
694,1.0,43,1849,29800,12,2,0
695,1.0,33,1089,15000,12,4,0
696,1.0,48,2304,22300,15,1,0
697,1.0,43,1849,14550,12,2,0
698,1.0,47,2209,19730,17,4,0
699,1.0,54,2916,35000,12,0,0
